Threshold,Accuracy,Preictal Precision,Preictal Recall,Preictal F1,Macro F1,False Alarms,Missed Preictal
0.1,85.55,82.11382113821138,90.9,86.28381585192216,85.50852176642596,198,91
0.11,85.65,82.26244343891402,90.9,86.36579572446556,85.61033849547816,196,91
0.12,85.55,82.34758871701547,90.5,86.23153882801334,85.51450692058215,194,95
0.13,85.5,82.33151183970855,90.4,86.17731172545281,85.4651017092038,194,96
0.14,85.7,82.6325411334552,90.4,86.34192932187202,85.66834136607766,190,96
0.15,85.75,82.708142726441,90.4,86.38318203535594,85.71912116974929,189,96
0.16,85.6,82.6605504587156,90.10000000000001,86.22009569377991,85.57078083118314,189,99
0.17,85.6,82.72058823529412,90.0,86.20689655172413,85.572067522724,188,100
0.18,85.65,82.85714285714286,89.9,86.23501199040767,85.62403341034744,186,101
0.19,85.75,83.07123034227567,89.8,86.30466122056704,85.72658803602609,183,102
0.2,85.75,83.07123034227567,89.8,86.30466122056704,85.72658803602609,183,102
0.21,85.7,83.05555555555556,89.7,86.25,85.67708333333334,183,103
0.22,85.75,83.13253012048193,89.7,86.2914862914863,85.7277316933746,182,103
0.23,85.8,83.20964749536178,89.7,86.33301251203079,85.77836889909551,181,103
0.24,85.85000000000001,83.28690807799443,89.7,86.3745787193067,85.82899502788008,180,103
0.25,85.85000000000001,83.28690807799443,89.7,86.3745787193067,85.82899502788008,180,103
0.26,85.85000000000001,83.34883720930233,89.60000000000001,86.36144578313252,85.83007354091691,179,104
0.27,85.9,83.42644320297951,89.60000000000001,86.40308582449373,85.88067063810357,178,104
0.28,85.8,83.3955223880597,89.4,86.2934362934363,85.78157291850238,178,106
0.29,85.75,83.38001867413632,89.3,86.23853211009175,85.7320187766633,178,107
0.3,85.75,83.38001867413632,89.3,86.23853211009175,85.7320187766633,178,107
0.31,85.8,83.45794392523365,89.3,86.28019323671498,85.7825836649896,177,107
0.32,85.8,83.45794392523365,89.3,86.28019323671498,85.7825836649896,177,107
0.33,85.8,83.52059925093633,89.2,86.26692456479691,85.78356580206719,176,108
0.34,85.85000000000001,83.59887535145268,89.2,86.30865989356555,85.8341023213301,175,108
0.35,85.85000000000001,83.59887535145268,89.2,86.30865989356555,85.8341023213301,175,108
0.36,85.85000000000001,83.59887535145268,89.2,86.30865989356555,85.8341023213301,175,108
0.37,85.9,83.67729831144464,89.2,86.35043562439496,85.88462836028434,174,108
0.38,85.9,83.7406015037594,89.1,86.33720930232558,85.88554679992312,173,109
0.39,85.9,83.80414312617702,89.0,86.32395732298738,85.88643686582806,172,110
0.4,85.9,83.86792452830188,88.9,86.31067961165049,85.88729856871184,171,111
0.41,85.85000000000001,83.85269121813032,88.8,86.25546381738708,85.83767523687489,171,112
0.42,85.9,83.99621212121212,88.7,86.284046692607,85.88893692655041,169,113
0.43,85.9,83.99621212121212,88.7,86.284046692607,85.88893692655041,169,113
0.44,85.9,83.99621212121212,88.7,86.284046692607,85.88893692655041,169,113
0.45,85.9,83.99621212121212,88.7,86.284046692607,85.88893692655041,169,113
0.46,85.95,84.14055080721748,88.6,86.31271310277643,85.94012645380218,167,114
0.47,86.1,84.38095238095238,88.6,86.4390243902439,86.09130706691683,164,114
0.48,86.1,84.38095238095238,88.6,86.4390243902439,86.09130706691683,164,114
0.49,86.05000000000001,84.36606291706387,88.5,86.3836017569546,86.04162148329534,164,115
